"range","area","pt","brte","nsamp","elev","pgraze","tburn","pgrassf","sppr","wtpr","propwtr","tburn2","hillshade","medwtpcp","medsppcp","medpropwtr"
"Monitor","Elkhorn","EHSG08",1,31,2305,1,2,0,138,315,0.695364238410596,4,215,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG09",0,31,2325,1,2,0,138,315,0.695364238410596,4,231,163,65,0.714912280701754
"Monitor","Elkhorn","EHSG10",0,31,2314,1,2,0,138,315,0.695364238410596,4,242,163,65,0.714912280701754
"Toiyabe","Grass Springs","GS01",31,31,2179,0.833333333,5,0.428571428571429,118,262,0.689473684210526,25,183,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS02",20,31,2134,0.833333333,5,0.80952380952381,118,262,0.689473684210526,25,184,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS03",27,31,2085,0.833333333,5,0.380952380952381,118,262,0.689473684210526,25,229,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS04",29,31,2079,0.833333333,5,0.333333333333333,118,262,0.689473684210526,25,220,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS05",31,31,2087,0.833333333,5,0.666666666666667,118,262,0.689473684210526,25,209,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS06",31,31,2108,0.833333333,5,0.380952380952381,118,262,0.689473684210526,25,205,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS07",29,31,2145,0.833333333,5,0.142857142857143,118,262,0.689473684210526,25,190,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS08",27,31,2129,0.833333333,5,0.476190476190476,118,262,0.689473684210526,25,160,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS09",30,31,2078,0.833333333,5,0.238095238095238,118,262,0.689473684210526,25,207,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GS10",28,31,2062,0.833333333,5,0.523809523809524,118,262,0.689473684210526,25,206,159.5,79,0.716134268276847
"Toiyabe","Grass Springs","GSSG01",17,31,2089,0.833333333,5,0.80952380952381,118,262,0.689473684210526,25,207,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG02",31,31,2091,0.833333333,5,0.714285714285714,118,262,0.689473684210526,25,202,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG03",14,31,2090,0.833333333,5,0.857142857142857,118,262,0.689473684210526,25,199,182,73,0.713725490196078
"Toiyabe","Grass Springs","GSSG04",28,31,2095,0.833333333,5,0.904761904761905,118,262,0.689473684210526,25,204,182,73,0.713725490196078
