"range","area","pt","yr","occ","elev","burn","graze","hillshade","medwtpcp","medsppcp","medpropwtr"
"Toquima","Moores West","MW01.2","2015",0,2186,0,0,213,93,34,0.732283464566929
"Toquima","Moores West","MW02.1","2012",1,2222,0,1,224,93,34,0.732283464566929
"Toquima","Moores West","MW02.2","2012",1,2250,0,1,209,93,34,0.732283464566929
"Toquima","Moores West","MW03.1","2015",0,2348,0,0,202,93,34,0.732283464566929
"Toquima","Moores West","MW03.2","2015",0,2405,0,1,224,133,49,0.730769230769231
"Toquima","Moores West","MW04.1","2015",0,2384,0,1,224,133,49,0.730769230769231
"Toquima","Moores West","MW04.2","2015",0,2447,0,1,211,133,49,0.730769230769231
"Toquima","Moores West","MW05.1","2015",0,2473,0,1,232,133,49,0.730769230769231
"Toquima","Moores West","MW05.2","2013",1,2506,0,1,221,133,49,0.730769230769231
"Toquima","Northumberland East","NE01.1","2015",0,2276,0,0,207,153,56,0.732057416267943
"Toquima","Northumberland East","NE01.2","2012",1,2291,0,1,211,153,56,0.732057416267943
"Toquima","Northumberland East","NE02.1","2012",1,2358,0,1,235,147,54,0.73134328358209
"Toquima","Northumberland East","NE02.2","2012",1,2393,0,1,243,147,54,0.73134328358209
"Toquima","Northumberland East","NE03.1","2012",1,2474,0,1,212,201,70,0.74169741697417
"Toquima","Northumberland East","NE03.2","2015",0,2522,0,0,224,201,70,0.74169741697417
"Toquima","Northumberland East","NE04.1","2015",0,2589,0,0,236,201,70,0.74169741697417
"Toquima","Northumberland East","NE04.2","2015",0,2614,0,0,237,201,70,0.74169741697417
"Toquima","Northumberland East","NE05.1","2015",0,2670,0,0,250,201,70,0.74169741697417
"Toquima","Northumberland East","NE05.2","2015",0,2714,0,0,237,201,70,0.74169741697417
"Toquima","Northumberland West","NW01.1","2012",1,2126,0,1,188,93,35,0.7265625
"Toquima","Northumberland West","NW01.2","2013",1,2183,0,1,210,140,51,0.732984293193717
"Toquima","Northumberland West","NW02.1","2013",1,2217,0,1,209,140,51,0.732984293193717
"Toquima","Northumberland West","NW02.2","2015",0,2295,0,0,215,140,51,0.732984293193717
"Toquima","Northumberland West","NW03.1","2015",0,2337,0,0,195,172,61,0.738197424892704
